Body 115: x=-3.861759, y=3.141202, z=-10.465226
Body 116: x=-5.702796, y=-7.210512, z=-3.975861
Body 117: x=-5.566931, y=4.528461, z=-7.411502
Body 118: x=8.613860, y=5.514336, z=4.232452
Body 119: x=-5.309321, y=-7.054574, z=7.275623
Body 120: x=-1.500032, y=9.054489, z=-1.280924
Body 121: x=-0.139050, y=-2.714952, z=-6.025387
Body 122: x=-1.473423, y=10.940931, z=-7.801839
Body 123: x=2.406393, y=4.810402, z=-4.640687
Body 124: x=-4.245480, y=3.570376, z=7.165102
Body 125: x=11.086914, y=-5.496456, z=-4.389792
Body 126: x=-1.265009, y=-10.175765, z=6.226151
Body 127: x=-11.493963, y=-2.041246, z=-0.866512
Body 128: x=2.696917, y=2.480158, z=13.052500
Body 129: x=5.933210, y=-4.665230, z=-8.776554
Body 130: x=5.956703, y=0.068644, z=-10.491828
Body 131: x=-4.088118, y=-1.950121, z=11.597800
Body 132: x=0.518184, y=-6.229080, z=-6.991701
Body 133: x=-3.642273, y=-9.463056, z=8.244076
Body 134: x=5.329910, y=4.062144, z=-8.452269
Body 135: x=5.564669, y=-10.496349, z=-3.691786
Body 136: x=4.281485, y=-4.667331, z=0.942625
Body 137: x=-1.059956, y=8.147079, z=10.341619
Body 138: x=9.306870, y=-10.551513, z=-1.808927
Body 139: x=3.372733, y=-11.790805, z=-4.455885
Body 140: x=1.712279, y=7.793977, z=1.511534
Body 141: x=13.044927, y=-1.371308, z=6.498549
Body 142: x=-6.393660, y=-3.884216, z=-11.255691
Body 143: x=-0.267616, y=6.354222, z=-11.315331
Body 144: x=-4.029021, y=-5.449051, z=-0.919131
Body 145: x=-10.468019, y=4.687174, z=-5.205641
Body 146: x=-7.675496, y=2.218385, z=-5.445834
Body 147: x=-5.809593, y=-3.543058, z=-0.295662
Body 148: x=-2.063489, y=13.012723, z=-3.756937
Body 149: x=6.620514, y=-5.389578, z=-7.526367
Body 150: x=2.504251, y=8.776315, z=-8.529835
Body 151: x=7.608560, y=4.507481, z=-3.299317
Body 152: x=-4.236856, y=-10.245788, z=5.377852
Body 153: x=-9.338583, y=5.555924, z=-3.129097
Body 154: x=-4.909026, y=13.265845, z=-1.211053
Body 155: x=4.340054, y=9.163547, z=-5.867484
Body 156: x=1.538600, y=3.002324, z=-3.333596
Body 157: x=-1.581347, y=10.321751, z=-6.358417
Body 158: x=2.489686, y=5.720345, z=-2.141735
Body 159: x=-11.244485, y=-3.536765, z=0.868048
Body 160: x=4.908201, y=-1.388165, z=5.210395
Body 161: x=0.105775, y=7.361674, z=-9.013488
Body 162: x=11.974915, y=-6.713326, z=2.592712
Body 163: x=4.141702, y=8.132598, z=-8.758755
Body 164: x=5.293827, y=-14.191953, z=-0.782900
Body 165: x=-10.225239, y=-3.806856, z=1.256508
Body 166: x=-4.610530, y=4.297528, z=3.691310
Body 167: x=-5.910620, y=1.168044, z=-1.442225
Body 168: x=-4.048571, y=1.087250, z=6.702783
Body 169: x=3.935281, y=5.119413, z=2.598915
Body 170: x=-7.297306, y=-12.433276, z=-0.154579
Body 171: x=1.631674, y=-10.418287, z=-3.714203
Body 172: x=1.432829, y=11.342246, z=-2.036840
Body 173: x=9.125947, y=-5.694418, z=3.931236
Body 174: x=-2.676002, y=-9.436865, z=-8.679931
Body 175: x=-6.557077, y=-5.997851, z=8.936298
Body 176: x=-5.759421, y=-2.460174, z=10.875567
Body 177: x=-2.027979, y=-9.373934, z=-1.640971
Body 178: x=8.779050, y=-10.275578, z=0.143690
Body 179: x=-8.120441, y=6.591403, z=-6.523833
Body 180: x=-8.281530, y=7.059464, z=-5.036748
Body 181: x=7.976312, y=5.052428, z=-2.502526
Body 182: x=-4.532748, y=3.251159, z=-11.025389
Body 183: x=-13.416670, y=-2.103321, z=-2.075955
Body 184: x=-0.360484, y=-9.438815, z=10.415615
Body 185: x=10.097710, y=-3.671910, z=2.585976
Body 186: x=11.076047, y=-6.199459, z=3.908003
Body 187: x=-2.021994, y=-10.017920, z=6.022546
Body 188: x=4.559342, y=10.616949, z=1.230042
Body 189: x=-7.442201, y=-9.943008, z=1.548707
Body 190: x=5.125990, y=2.366323, z=-11.852424
Body 191: x=-0.487495, y=3.171947, z=-0.281289
Body 192: x=-2.993739, y=-6.079277, z=0.425080
Body 193: x=-5.871721, y=0.782584, z=-7.942672
Body 194: x=-3.072764, y=7.987628, z=5.828450
Body 195: x=6.513487, y=3.380566, z=-7.903451
Body 196: x=-7.274712, y=-0.383300, z=-0.718792
Body 197: x=-13.146029, y=-5.269079, z=5.338327
Body 198: x=8.169589, y=-0.263411, z=-10.136616
Body 199: x=7.234611, y=4.706499, z=1.099930
Body 200: x=-6.976659, y=0.364970, z=-11.653691
Body 201: x=-7.909212, y=2.894031, z=-0.665006
Body 202: x=-10.803471, y=-0.443012, z=-1.884875
Body 203: x=-0.719332, y=12.589879, z=-4.621624
Body 204: x=-6.458741, y=9.105470, z=-3.585049
