Body 115: x=-3.861796, y=3.141180, z=-10.465219
Body 116: x=-5.702831, y=-7.210441, z=-3.975812
Body 117: x=-5.566934, y=4.528514, z=-7.411485
Body 118: x=8.613908, y=5.514362, z=4.232424
Body 119: x=-5.309220, y=-7.054509, z=7.275537
Body 120: x=-1.500020, y=9.054374, z=-1.280919
Body 121: x=-0.139050, y=-2.714944, z=-6.025471
Body 122: x=-1.473412, y=10.940822, z=-7.801743
Body 123: x=2.406374, y=4.810414, z=-4.640646
Body 124: x=-4.245486, y=3.570429, z=7.165101
Body 125: x=11.086951, y=-5.496428, z=-4.389788
Body 126: x=-1.265001, y=-10.175806, z=6.226131
Body 127: x=-11.493864, y=-2.041239, z=-0.866503
Body 128: x=2.696938, y=2.480142, z=13.052548
Body 129: x=5.933084, y=-4.665172, z=-8.776429
Body 130: x=5.956686, y=0.068644, z=-10.491848
Body 131: x=-4.088161, y=-1.950131, z=11.597932
Body 132: x=0.518186, y=-6.229059, z=-6.991676
Body 133: x=-3.642288, y=-9.462994, z=8.243998
Body 134: x=5.329950, y=4.062151, z=-8.452365
Body 135: x=5.564690, y=-10.496342, z=-3.691782
Body 136: x=4.281499, y=-4.667313, z=0.942631
Body 137: x=-1.059958, y=8.147137, z=10.341664
Body 138: x=9.306777, y=-10.551561, z=-1.808914
Body 139: x=3.372751, y=-11.791031, z=-4.455848
Body 140: x=1.712262, y=7.794003, z=1.511548
Body 141: x=13.044877, y=-1.371322, z=6.498587
Body 142: x=-6.393608, y=-3.884203, z=-11.255691
Body 143: x=-0.267615, y=6.354273, z=-11.315350
Body 144: x=-4.029042, y=-5.449020, z=-0.919133
Body 145: x=-10.467970, y=4.687153, z=-5.205666
Body 146: x=-7.675533, y=2.218369, z=-5.445794
Body 147: x=-5.809648, y=-3.543138, z=-0.295661
Body 148: x=-2.063491, y=13.012680, z=-3.756974
Body 149: x=6.620413, y=-5.389572, z=-7.526370
Body 150: x=2.504255, y=8.776315, z=-8.529831
Body 151: x=7.608677, y=4.507528, z=-3.299346
Body 152: x=-4.236904, y=-10.245763, z=5.377850
Body 153: x=-9.338518, y=5.555893, z=-3.129090
Body 154: x=-4.909011, y=13.265707, z=-1.211039
Body 155: x=4.340073, y=9.163687, z=-5.867473
Body 156: x=1.538609, y=3.002353, z=-3.333593
Body 157: x=-1.581355, y=10.321767, z=-6.358409
Body 158: x=2.489677, y=5.720279, z=-2.141771
Body 159: x=-11.244378, y=-3.536755, z=0.868046
Body 160: x=4.908274, y=-1.388170, z=5.210364
Body 161: x=0.105776, y=7.361772, z=-9.013599
Body 162: x=11.974936, y=-6.713225, z=2.592710
Body 163: x=4.141705, y=8.132589, z=-8.758773
Body 164: x=5.293789, y=-14.192121, z=-0.782901
Body 165: x=-10.225184, y=-3.806848, z=1.256512
Body 166: x=-4.610527, y=4.297502, z=3.691306
Body 167: x=-5.910617, y=1.168043, z=-1.442205
Body 168: x=-4.048561, y=1.087244, z=6.702724
Body 169: x=3.935276, y=5.119416, z=2.598935
Body 170: x=-7.297257, y=-12.433298, z=-0.154577
Body 171: x=1.631688, y=-10.418307, z=-3.714207
Body 172: x=1.432829, y=11.342131, z=-2.036858
Body 173: x=9.125864, y=-5.694471, z=3.931232
Body 174: x=-2.676011, y=-9.436790, z=-8.680016
Body 175: x=-6.557152, y=-5.997913, z=8.936404
Body 176: x=-5.759427, y=-2.460196, z=10.875529
Body 177: x=-2.027980, y=-9.373875, z=-1.640996
Body 178: x=8.779119, y=-10.275503, z=0.143685
Body 179: x=-8.120482, y=6.591386, z=-6.523918
Body 180: x=-8.281498, y=7.059457, z=-5.036698
Body 181: x=7.976350, y=5.052411, z=-2.502520
Body 182: x=-4.532795, y=3.251116, z=-11.025405
Body 183: x=-13.416792, y=-2.103306, z=-2.075959
Body 184: x=-0.360479, y=-9.438736, z=10.415612
Body 185: x=10.097635, y=-3.671884, z=2.585994
Body 186: x=11.076189, y=-6.199556, z=3.908049
Body 187: x=-2.021998, y=-10.017966, z=6.022515
Body 188: x=4.559357, y=10.616850, z=1.230055
Body 189: x=-7.442228, y=-9.943021, z=1.548686
Body 190: x=5.126010, y=2.366311, z=-11.852353
