Body 115: x=-1.874434, y=1.300472, z=-4.880368
Body 116: x=-2.659151, y=-3.097553, z=-1.767177
Body 117: x=-2.641862, y=2.465953, z=-3.237077
Body 118: x=3.872681, y=2.169392, z=2.101208
Body 119: x=-2.268337, y=-2.988431, z=3.130730
Body 120: x=-0.876103, y=4.096496, z=-0.389549
Body 121: x=-0.229472, y=-1.094843, z=-2.946436
Body 122: x=-0.190806, y=5.119759, z=-3.441497
Body 123: x=1.131223, y=2.330895, z=-2.088600
Body 124: x=-2.139266, y=1.847229, z=3.372904
Body 125: x=5.092747, y=-2.539068, z=-1.693693
Body 126: x=-0.066977, y=-3.909624, z=2.201817
Body 127: x=-5.439825, y=-0.968585, z=-0.215986
Body 128: x=1.070053, y=1.103583, z=6.071529
Body 129: x=2.760514, y=-2.224221, z=-4.027534
Body 130: x=2.688770, y=0.010676, z=-5.198013
Body 131: x=-1.625182, y=-1.066495, z=5.513985
Body 132: x=0.318828, y=-2.946308, z=-3.385476
Body 133: x=-1.494898, y=-4.544700, z=3.818587
Body 134: x=2.001952, y=1.724759, z=-3.563976
Body 135: x=2.460423, y=-4.805002, z=-2.046773
Body 136: x=1.983092, y=-1.735845, z=0.371923
Body 137: x=-0.605706, y=3.983235, z=5.118027
Body 138: x=3.464846, y=-5.540411, z=-1.103852
Body 139: x=1.919546, y=-5.623024, z=-2.109567
Body 140: x=0.655188, y=3.662514, z=0.970903
Body 141: x=6.243952, y=-0.420216, z=2.839225
Body 142: x=-2.630459, y=-1.730838, z=-5.178030
Body 143: x=-0.253013, y=2.689850, z=-5.157216
Body 144: x=-1.725462, y=-2.802786, z=-0.421074
Body 145: x=-4.738638, y=2.242735, z=-2.450004
Body 146: x=-3.622341, y=0.991620, z=-2.543888
Body 147: x=-2.716121, y=-1.483344, z=-0.007241
Body 148: x=-0.655878, y=5.941701, z=-1.328633
Body 149: x=3.012302, y=-2.422504, z=-3.480913
Body 150: x=1.121802, y=3.935492, z=-3.649930
Body 151: x=3.356977, y=2.029198, z=-1.488572
Body 152: x=-1.921827, y=-4.557293, z=2.877967
Body 153: x=-4.329595, y=2.392514, z=-1.447343
Body 154: x=-2.192138, y=6.249131, z=-0.275327
Body 155: x=1.292684, y=4.015611, z=-3.288890
Body 156: x=0.610005, y=1.539776, z=-1.517609
Body 157: x=-0.605534, y=4.578773, z=-2.654371
Body 158: x=1.245013, y=2.743735, z=-0.861595
Body 159: x=-5.195241, y=-1.475016, z=0.500536
Body 160: x=2.946929, y=-0.690487, z=2.228459
Body 161: x=-0.091271, y=3.467711, z=-4.115394
Body 162: x=5.475165, y=-2.989786, z=1.070925
Body 163: x=1.836931, y=3.570642, z=-3.717844
Body 164: x=2.303543, y=-6.685577, z=-0.384781
Body 165: x=-4.751734, y=-1.743261, z=0.423384
Body 166: x=-1.903894, y=1.970184, z=1.838901
Body 167: x=-2.686548, y=0.489382, z=-0.971520
Body 168: x=-1.390658, y=0.414092, z=2.752595
Body 169: x=3.630838, y=4.724040, z=0.099171
Body 170: x=-3.250861, y=-5.609572, z=-0.130289
Body 171: x=0.640273, y=-5.052137, z=-1.608780
Body 172: x=0.710050, y=5.248512, z=-0.940144
Body 173: x=4.208076, y=-2.519415, z=1.707751
Body 174: x=-1.238518, y=-4.098754, z=-3.772332
