Body 39: x=0.541974, y=7.008025, z=1.385526
Body 40: x=-2.118692, y=-0.063553, z=0.233673
Body 41: x=-1.073153, y=6.203570, z=0.409819
Body 42: x=1.365286, y=4.096273, z=-1.490201
Body 43: x=-1.938856, y=2.079001, z=-4.880893
Body 44: x=-0.179714, y=4.558355, z=1.806560
Body 45: x=5.491894, y=1.380758, z=-0.587903
Body 46: x=-3.549187, y=1.942584, z=1.524794
Body 47: x=-3.273990, y=1.006653, z=3.086277
Body 48: x=-2.501938, y=-1.719340, z=4.347829
Body 49: x=-4.094188, y=-3.047574, z=-2.365593
Body 50: x=1.123574, y=-4.000141, z=-3.760253
Body 51: x=3.345680, y=1.846344, z=-4.055041
Body 52: x=-0.075588, y=2.171079, z=3.855902
Body 53: x=-0.711487, y=0.150975, z=-4.340620
Body 54: x=0.280919, y=4.167222, z=3.724247
Body 55: x=-5.026392, y=-1.019646, z=-2.834347
Body 56: x=1.029982, y=-2.194428, z=-1.720314
Body 57: x=4.918288, y=-1.539451, z=0.856572
Body 58: x=0.425709, y=-6.303966, z=-0.555428
Body 59: x=-0.053913, y=3.132889, z=-4.340395
Body 60: x=-0.339610, y=0.912547, z=-4.445373
Body 61: x=-1.814233, y=-0.948391, z=-6.390896
Body 62: x=1.247238, y=7.457638, z=-1.458634
Body 63: x=-3.034771, y=-1.481949, z=4.641592
Body 64: x=2.904426, y=0.180307, z=-4.560424
Body 65: x=2.063050, y=-1.508144, z=-3.460224
Body 66: x=0.395613, y=-3.277091, z=-1.922125
Body 67: x=-1.005664, y=-0.144146, z=-1.203961
Body 68: x=-0.188365, y=4.470134, z=-0.500377
Body 69: x=1.793593, y=-2.671044, z=4.662247
Body 70: x=0.408872, y=2.792561, z=-3.446312
Body 71: x=1.671892, y=-4.101870, z=-1.651904
Body 72: x=-1.330807, y=-3.944853, z=1.885656
Body 73: x=4.321973, y=-1.414975, z=-2.271616
Body 74: x=1.960963, y=0.617863, z=3.168667
Body 75: x=-0.235277, y=7.278955, z=0.851072
Body 76: x=2.824245, y=-1.442460, z=-0.406175
Body 77: x=-2.731233, y=1.504612, z=-1.509065
Body 78: x=-1.354298, y=-1.707016, z=-0.513353
Body 79: x=-3.549567, y=-1.811277, z=2.389328
Body 80: x=3.789109, y=-1.070222, z=-2.139917
Body 81: x=2.029351, y=2.802496, z=-1.030104
Body 82: x=-1.500012, y=-4.693945, z=-1.325978
Body 83: x=3.711904, y=-0.360504, z=-3.436804
Body 84: x=1.197949, y=-1.755253, z=-5.110698
