Body 115: x=-1.874447, y=1.300472, z=-4.880393
Body 116: x=-2.659141, y=-3.097556, z=-1.767168
Body 117: x=-2.641868, y=2.465968, z=-3.237105
Body 118: x=3.872712, y=2.169387, z=2.101218
Body 119: x=-2.268322, y=-2.988435, z=3.130711
Body 120: x=-0.876098, y=4.096478, z=-0.389550
Body 121: x=-0.229474, y=-1.094844, z=-2.946455
Body 122: x=-0.190805, y=5.119717, z=-3.441464
Body 123: x=1.131220, y=2.330887, z=-2.088600
Body 124: x=-2.139257, y=1.847256, z=3.372891
Body 125: x=5.092741, y=-2.539092, z=-1.693676
Body 126: x=-0.066977, y=-3.909612, z=2.201807
Body 127: x=-5.439818, y=-0.968576, z=-0.215985
Body 128: x=1.070061, y=1.103581, z=6.071557
Body 129: x=2.760482, y=-2.224205, z=-4.027560
Body 130: x=2.688757, y=0.010676, z=-5.198047
Body 131: x=-1.625199, y=-1.066494, z=5.513994
Body 132: x=0.318830, y=-2.946286, z=-3.385471
Body 133: x=-1.494894, y=-4.544670, z=3.818564
Body 134: x=2.001963, y=1.724745, z=-3.563971
Body 135: x=2.460452, y=-4.804969, z=-2.046768
Body 136: x=1.983088, y=-1.735834, z=0.371921
Body 137: x=-0.605695, y=3.983251, z=5.118038
Body 138: x=3.464820, y=-5.540377, z=-1.103853
Body 139: x=1.919551, y=-5.623051, z=-2.109551
Body 140: x=0.655182, y=3.662562, z=0.970918
Body 141: x=6.243957, y=-0.420216, z=2.839236
Body 142: x=-2.630468, y=-1.730837, z=-5.178039
Body 143: x=-0.253014, y=2.689849, z=-5.157267
Body 144: x=-1.725468, y=-2.802786, z=-0.421073
Body 145: x=-4.738626, y=2.242733, z=-2.449988
Body 146: x=-3.622349, y=0.991611, z=-2.543886
Body 147: x=-2.716125, y=-1.483364, z=-0.007240
Body 148: x=-0.655871, y=5.941736, z=-1.328629
Body 149: x=3.012281, y=-2.422500, z=-3.480913
Body 150: x=1.121807, y=3.935536, z=-3.649938
Body 151: x=3.356977, y=2.029196, z=-1.488563
Body 152: x=-1.921853, y=-4.557271, z=2.877965
Body 153: x=-4.329588, y=2.392507, z=-1.447339
Body 154: x=-2.192133, y=6.249136, z=-0.275326
Body 155: x=1.292679, y=4.015608, z=-3.288913
Body 156: x=0.610004, y=1.539789, z=-1.517603
Body 157: x=-0.605535, y=4.578768, z=-2.654355
Body 158: x=1.245023, y=2.743733, z=-0.861588
Body 159: x=-5.195220, y=-1.475012, z=0.500533
Body 160: x=2.946901, y=-0.690491, z=2.228435
Body 161: x=-0.091271, y=3.467740, z=-4.115399
Body 162: x=5.475141, y=-2.989759, z=1.070922
Body 163: x=1.836915, y=3.570611, z=-3.717852
Body 164: x=2.303535, y=-6.685629, z=-0.384781
Body 165: x=-4.751690, y=-1.743252, z=0.423382
Body 166: x=-1.903904, y=1.970168, z=1.838905
Body 167: x=-2.686556, y=0.489379, z=-0.971517
Body 168: x=-1.390647, y=0.414088, z=2.752574
Body 169: x=3.630858, y=4.724028, z=0.099188
Body 170: x=-3.250865, y=-5.609529, z=-0.130287
Body 171: x=0.640275, y=-5.052142, z=-1.608791
Body 172: x=0.710046, y=5.248472, z=-0.940148
Body 173: x=4.208049, y=-2.519420, z=1.707741
Body 174: x=-1.238519, y=-4.098727, z=-3.772352
Body 175: x=-3.081925, y=-2.754339, z=4.232395
Body 176: x=-2.570622, y=-1.089248, z=4.453038
Body 177: x=-0.806572, y=-4.270902, z=-0.703785
Body 178: x=3.990286, y=-4.792330, z=-0.187823
Body 179: x=-3.621524, y=2.969417, z=-2.757099
Body 180: x=-3.685391, y=2.996083, z=-2.058085
Body 181: x=3.542776, y=2.384319, z=-0.822810
Body 182: x=-1.710719, y=1.569737, z=-5.569830
Body 183: x=-6.182583, y=-0.928480, z=-0.669908
Body 184: x=-0.571111, y=-4.212074, z=4.848279
Body 185: x=5.595823, y=-1.351250, z=1.450903
Body 186: x=5.041345, y=-2.773561, z=1.733170
Body 187: x=0.033184, y=-4.488293, z=3.625640
